method,path,auth,path_params,source
GET,/api/v1/accessories,public,,accessories.py:list_accessories
GET,/api/v1/admin/ads,admin,,admin.py:admin_list_ads
POST,/api/v1/admin/ads,admin,,admin.py:admin_create_ad
POST,/api/v1/admin/ads/reorder,admin,,admin.py:admin_reorder_ads
DELETE,/api/v1/admin/ads/{ad_id},admin,ad_id,admin.py:admin_delete_ad
PATCH,/api/v1/admin/ads/{ad_id},admin,ad_id,admin.py:admin_update_ad
POST,/api/v1/admin/ads/{ad_id}/html-file,admin,ad_id,admin.py:admin_upload_ad_html
DELETE,/api/v1/admin/ads/{ad_id}/image,admin,ad_id,admin.py:admin_delete_ad_image
POST,/api/v1/admin/ads/{ad_id}/image,admin,ad_id,admin.py:admin_upload_ad_image
POST,/api/v1/admin/ads/{ad_id}/payment-link,admin,ad_id,admin.py:admin_ad_payment_link
GET,/api/v1/admin/ads/{ad_id}/payment-status,admin,ad_id,admin.py:admin_ad_payment_status
POST,/api/v1/admin/ads/{ad_id}/send-whatsapp,admin,ad_id,admin.py:admin_ad_send_whatsapp
GET,/api/v1/admin/agreement,public,,agreements.py:admin_get
PUT,/api/v1/admin/agreement,public,,agreements.py:admin_publish
GET,/api/v1/admin/agreement/acceptances,public,,agreements.py:admin_acceptances
GET,/api/v1/admin/agreement/acceptances/{acc_id}/pdf,public,acc_id,agreements.py:admin_acceptance_pdf
GET,/api/v1/admin/agreement/history,public,,agreements.py:admin_history
GET,/api/v1/admin/agreement/history/{tpl_id},public,tpl_id,agreements.py:admin_history_detail
GET,/api/v1/admin/agreement/party,public,,agreements.py:admin_get_party
PUT,/api/v1/admin/agreement/party,public,,agreements.py:admin_set_party
POST,/api/v1/admin/agreements/send-reminders,admin,,admin.py:send_agreement_reminders_endpoint
GET,/api/v1/admin/approvals/pending-count,admin,,admin.py:approvals_pending_count
GET,/api/v1/admin/assistant-tiles,admin,,admin.py:list_assistant_tiles
POST,/api/v1/admin/assistant-tiles,admin,,admin.py:create_assistant_tile
